epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1367.47,0.98261,0.95454,1.19101,0.8232,0.61575,0.69209,0.39352,1.4677,1.02474,1.49305,0.000424187,0.000424187,0.000424187
43,1400.24,0.9836,0.94798,1.19496,0.84051,0.61944,0.69792,0.35325,1.67167,1.05626,1.67866,0.000417119,0.000417119,0.000417119
44,1432.14,0.96997,0.92946,1.1833,0.85552,0.63467,0.70485,0.36878,1.60096,1.02845,1.60393,0.00041005,0.00041005,0.00041005
45,1464.95,0.96916,0.93015,1.1877,0.86149,0.63648,0.71283,0.3814,1.55968,1.02409,1.58963,0.000402982,0.000402982,0.000402982
46,1497.28,0.95575,0.91778,1.17463,0.86511,0.60962,0.71232,0.39461,1.50753,1.00578,1.52545,0.000395913,0.000395913,0.000395913
47,1529.56,0.95344,0.89031,1.16387,0.80477,0.65839,0.71758,0.36806,1.66824,1.00002,1.67379,0.000388844,0.000388844,0.000388844
48,1561.28,0.95592,0.90514,1.17502,0.8565,0.64955,0.73387,0.39813,1.53444,0.95243,1.54209,0.000381776,0.000381776,0.000381776
49,1595.09,0.94212,0.894,1.1664,0.83686,0.65754,0.72109,0.38224,1.59998,0.98557,1.60684,0.000374707,0.000374707,0.000374707
50,1627.6,0.94989,0.89302,1.1641,0.8296,0.66145,0.72634,0.40095,1.54415,0.95228,1.56095,0.000367639,0.000367639,0.000367639
51,1659.47,0.93608,0.87586,1.16008,0.85345,0.63263,0.70823,0.37017,1.61346,1.05961,1.63054,0.00036057,0.00036057,0.00036057
52,1691.43,0.94064,0.87217,1.15891,0.89745,0.63127,0.73508,0.39764,1.56247,0.97882,1.56414,0.000353501,0.000353501,0.000353501
53,1724.82,0.93016,0.86999,1.15555,0.82952,0.64823,0.72156,0.39976,1.49373,1.01208,1.52903,0.000346433,0.000346433,0.000346433
54,1756.95,0.91929,0.85441,1.15164,0.85844,0.64618,0.72294,0.39087,1.58834,0.9686,1.59577,0.000339364,0.000339364,0.000339364
